generation 0, score -15.96, best individual [1.0, 10.0, 22.0, 15.0, 11.0, 21.0, 5.0, 28.0, 13.0, 18.0, 0.0, 4.0, 26.0, 14.0, 17.0, 6.0, 16.0, 27.0, 12.0, 8.0, 24.0, 20.0, 2.0, 7.0, 9.0, 3.0, 25.0, 23.0, 19.0]
generation 10, score -15.98, best individual [1.0, 10.0, 22.0, 15.0, 11.0, 21.0, 26.0, 28.0, 19.0, 18.0, 23.0, 5.0, 13.0, 3.0, 6.0, 27.0, 8.0, 12.0, 24.0, 20.0, 14.0, 2.0, 4.0, 0.0, 16.0, 9.0, 25.0, 7.0, 17.0]
generation 20, score -16.06, best individual [1.0, 10.0, 22.0, 15.0, 11.0, 21.0, 26.0, 28.0, 19.0, 23.0, 18.0, 7.0, 12.0, 13.0, 27.0, 8.0, 2.0, 4.0, 0.0, 6.0, 17.0, 16.0, 24.0, 3.0, 20.0, 9.0, 25.0, 14.0, 5.0]
generation 30, score -16.06, best individual [1.0, 10.0, 22.0, 15.0, 11.0, 21.0, 26.0, 28.0, 19.0, 23.0, 18.0, 7.0, 12.0, 13.0, 27.0, 8.0, 2.0, 4.0, 0.0, 6.0, 17.0, 16.0, 24.0, 3.0, 20.0, 9.0, 25.0, 14.0, 5.0]
generation 40, score -16.06, best individual [1.0, 10.0, 22.0, 15.0, 11.0, 21.0, 26.0, 28.0, 19.0, 23.0, 18.0, 7.0, 12.0, 13.0, 27.0, 8.0, 2.0, 4.0, 0.0, 6.0, 17.0, 16.0, 24.0, 3.0, 20.0, 9.0, 25.0, 14.0, 5.0]
generation 50, score -16.22, best individual [10.0, 1.0, 22.0, 15.0, 21.0, 13.0, 5.0, 26.0, 4.0, 6.0, 12.0, 16.0, 9.0, 23.0, 0.0, 7.0, 17.0, 2.0, 19.0, 28.0, 20.0, 14.0, 8.0, 25.0, 3.0, 11.0, 18.0, 27.0, 24.0]
generation 60, score -16.22, best individual [10.0, 1.0, 22.0, 15.0, 21.0, 13.0, 5.0, 26.0, 4.0, 6.0, 12.0, 16.0, 9.0, 23.0, 0.0, 7.0, 17.0, 2.0, 19.0, 28.0, 20.0, 14.0, 8.0, 25.0, 3.0, 11.0, 18.0, 27.0, 24.0]
generation 70, score -16.22, best individual [10.0, 1.0, 22.0, 15.0, 21.0, 13.0, 5.0, 26.0, 4.0, 6.0, 12.0, 16.0, 9.0, 23.0, 0.0, 7.0, 17.0, 2.0, 19.0, 28.0, 20.0, 14.0, 8.0, 25.0, 3.0, 11.0, 18.0, 27.0, 24.0]
generation 80, score -16.22, best individual [10.0, 1.0, 22.0, 15.0, 21.0, 13.0, 5.0, 26.0, 4.0, 6.0, 12.0, 16.0, 9.0, 23.0, 0.0, 7.0, 17.0, 2.0, 19.0, 28.0, 20.0, 14.0, 8.0, 25.0, 3.0, 11.0, 18.0, 27.0, 24.0]
generation 90, score -16.22, best individual [10.0, 1.0, 22.0, 15.0, 21.0, 13.0, 5.0, 26.0, 4.0, 6.0, 12.0, 16.0, 9.0, 23.0, 0.0, 7.0, 17.0, 2.0, 19.0, 28.0, 20.0, 14.0, 8.0, 25.0, 3.0, 11.0, 18.0, 27.0, 24.0]
